Timestamp,Year,Month,Day,Hour,PM2.5
2018-03-01 00:00:00,2018,3,1,0,62.84
2018-03-01 01:00:00,2018,3,1,1,65.6
2018-03-01 02:00:00,2018,3,1,2,68.07
2018-03-01 03:00:00,2018,3,1,3,75.87
2018-03-01 04:00:00,2018,3,1,4,86.54
2018-03-01 05:00:00,2018,3,1,5,77.15
2018-03-01 06:00:00,2018,3,1,6,76.86
2018-03-01 07:00:00,2018,3,1,7,57.53
2018-03-01 08:00:00,2018,3,1,8,52.82
2018-03-01 09:00:00,2018,3,1,9,48.13
2018-03-01 10:00:00,2018,3,1,10,43.29
2018-03-01 11:00:00,2018,3,1,11,41.34
2018-03-01 12:00:00,2018,3,1,12,42.91
2018-03-01 13:00:00,2018,3,1,13,48.49
2018-03-01 14:00:00,2018,3,1,14,57.37
2018-03-01 15:00:00,2018,3,1,15,64.05
2018-03-01 16:00:00,2018,3,1,16,79.91
2018-03-01 17:00:00,2018,3,1,17,96.11
2018-03-01 18:00:00,2018,3,1,18,97.99
2018-03-01 19:00:00,2018,3,1,19,95.02
2018-03-01 20:00:00,2018,3,1,20,91.96
2018-03-01 21:00:00,2018,3,1,21,87.12
2018-03-01 22:00:00,2018,3,1,22,92.84
2018-03-01 23:00:00,2018,3,1,23,82.32
2018-03-02 00:00:00,2018,3,2,0,79.59
2018-03-02 01:00:00,2018,3,2,1,77.87
2018-03-02 02:00:00,2018,3,2,2,83.46
2018-03-02 03:00:00,2018,3,2,3,87.23
2018-03-02 04:00:00,2018,3,2,4,98.41
2018-03-02 05:00:00,2018,3,2,5,82.88
2018-03-02 06:00:00,2018,3,2,6,68.79
2018-03-02 07:00:00,2018,3,2,7,57.02
2018-03-02 08:00:00,2018,3,2,8,49.73
2018-03-02 09:00:00,2018,3,2,9,43.09
2018-03-02 10:00:00,2018,3,2,10,42.59
2018-03-02 11:00:00,2018,3,2,11,40.98
2018-03-02 12:00:00,2018,3,2,12,41.75
2018-03-02 13:00:00,2018,3,2,13,45.5
2018-03-02 14:00:00,2018,3,2,14,57.15
2018-03-02 15:00:00,2018,3,2,15,60.84
2018-03-02 16:00:00,2018,3,2,16,64.87
2018-03-02 17:00:00,2018,3,2,17,66.03
2018-03-02 18:00:00,2018,3,2,18,61.34
2018-03-02 19:00:00,2018,3,2,19,56.08
2018-03-02 20:00:00,2018,3,2,20,55.92
2018-03-02 21:00:00,2018,3,2,21,53.92
2018-03-02 22:00:00,2018,3,2,22,53.49
2018-03-02 23:00:00,2018,3,2,23,53.37
2018-03-03 00:00:00,2018,3,3,0,53.18
2018-03-03 01:00:00,2018,3,3,1,53.44
2018-03-03 02:00:00,2018,3,3,2,53.8
2018-03-03 03:00:00,2018,3,3,3,56.27
2018-03-03 04:00:00,2018,3,3,4,58.39
2018-03-03 05:00:00,2018,3,3,5,56.48
2018-03-03 06:00:00,2018,3,3,6,54.98
2018-03-03 07:00:00,2018,3,3,7,54.14
2018-03-03 08:00:00,2018,3,3,8,53.88
2018-03-03 09:00:00,2018,3,3,9,53.33
2018-03-03 10:00:00,2018,3,3,10,53.34
2018-03-03 11:00:00,2018,3,3,11,53.88
2018-03-03 12:00:00,2018,3,3,12,53.92
2018-03-03 15:00:00,2018,3,3,15,55.12
2018-03-03 16:00:00,2018,3,3,16,55.27
2018-03-03 17:00:00,2018,3,3,17,56.51
2018-03-03 18:00:00,2018,3,3,18,54.77
2018-03-03 19:00:00,2018,3,3,19,53.85
2018-03-03 20:00:00,2018,3,3,20,53.56
2018-03-03 21:00:00,2018,3,3,21,53.58
2018-03-03 22:00:00,2018,3,3,22,53.17
2018-03-03 23:00:00,2018,3,3,23,53.27
2018-03-04 00:00:00,2018,3,4,0,51.92
2018-03-04 01:00:00,2018,3,4,1,51.8
2018-03-04 02:00:00,2018,3,4,2,52.49
2018-03-04 03:00:00,2018,3,4,3,53.67
2018-03-04 04:00:00,2018,3,4,4,54.16
